predicted_decile,mean,std,count,standard_error
1,-0.010669387869947236,0.033994478516635465,871,0.0011518589625452655
2,-0.006584683035081884,0.03208311253290819,871,0.0010870947968592694
3,-0.005462086623642329,0.0296183533606272,871,0.0010035796183070175
4,-0.0037569925543177746,0.027698322829317966,871,0.0009385218656261866
5,-0.0023257658900322268,0.026172234834370964,871,0.000886812346571431
6,-0.0016250080544386231,0.025525002793568355,871,0.0008648817254948312
7,-0.00040316859243979907,0.023888092880252593,871,0.0008094171489869352
8,0.0006502950629738587,0.02271469448505049,871,0.0007696580611254061
9,0.0049341180061853755,0.023696723124535517,871,0.0008029328321831065
10,0.011691430965022618,0.03665602058597263,871,0.0012420418751984792
